Concentration,Time_min,RFU_Interpolated,Concentration [μM]
5.0 ug/mL,0.0,3130134.09971,5.0
5.0 ug/mL,0.02,3130134.09971,5.0
5.0 ug/mL,0.04,3130134.09971,5.0
5.0 ug/mL,0.06,3130134.09971,5.0
5.0 ug/mL,0.08,3130134.09971,5.0
5.0 ug/mL,0.1,3130134.09971,5.0
5.0 ug/mL,0.12,3130134.09971,5.0
5.0 ug/mL,0.14,3130134.09971,5.0
5.0 ug/mL,0.16,3130134.09971,5.0
5.0 ug/mL,0.18,3130134.09971,5.0
5.0 ug/mL,0.2,3130134.09971,5.0
5.0 ug/mL,0.22,3130134.09971,5.0
5.0 ug/mL,0.24,3130134.09971,5.0
5.0 ug/mL,0.26,3130134.09971,5.0
5.0 ug/mL,0.28,3130134.09971,5.0
5.0 ug/mL,0.3,3130134.09971,5.0
5.0 ug/mL,0.32,3130134.09971,5.0
5.0 ug/mL,0.34,3130134.09971,5.0
5.0 ug/mL,0.36,3130134.09971,5.0
5.0 ug/mL,0.38,3130134.09971,5.0
5.0 ug/mL,0.4,3130134.09971,5.0
5.0 ug/mL,0.42,3130134.09971,5.0
5.0 ug/mL,0.44,3130134.09971,5.0
5.0 ug/mL,0.46,3130134.09971,5.0
5.0 ug/mL,0.48,3130134.09971,5.0
5.0 ug/mL,0.5,3130134.09971,5.0
5.0 ug/mL,0.52,3130134.09971,5.0
5.0 ug/mL,0.54,3130134.09971,5.0
5.0 ug/mL,0.56,3130134.09971,5.0
5.0 ug/mL,0.58,3130134.09971,5.0
5.0 ug/mL,0.6,3130134.09971,5.0
5.0 ug/mL,0.62,3130134.09971,5.0
5.0 ug/mL,0.64,3130134.09971,5.0
5.0 ug/mL,0.66,3130134.09971,5.0
5.0 ug/mL,0.68,3130134.09971,5.0
5.0 ug/mL,0.7000000000000001,3130134.09971,5.0
5.0 ug/mL,0.72,3130134.09971,5.0
5.0 ug/mL,0.74,3130134.09971,5.0
5.0 ug/mL,0.76,3130134.09971,5.0
5.0 ug/mL,0.78,3130134.09971,5.0
5.0 ug/mL,0.8,3130134.09971,5.0
5.0 ug/mL,0.8200000000000001,3130134.09971,5.0
5.0 ug/mL,0.84,3130134.09971,5.0
5.0 ug/mL,0.86,3130134.09971,5.0
5.0 ug/mL,0.88,3130134.09971,5.0
5.0 ug/mL,0.9,3130134.09971,5.0
5.0 ug/mL,0.92,3130134.09971,5.0
5.0 ug/mL,0.9400000000000001,3130134.09971,5.0
5.0 ug/mL,0.96,3130134.09971,5.0
5.0 ug/mL,0.98,3130134.09971,5.0
5.0 ug/mL,1.0,3130134.09971,5.0
5.0 ug/mL,1.02,3130134.09971,5.0
5.0 ug/mL,1.04,3130134.09971,5.0
5.0 ug/mL,1.06,3130134.09971,5.0
5.0 ug/mL,1.08,3130134.09971,5.0
5.0 ug/mL,1.1,3130134.09971,5.0
5.0 ug/mL,1.12,3130134.09971,5.0
5.0 ug/mL,1.1400000000000001,3130134.09971,5.0
5.0 ug/mL,1.16,3130134.09971,5.0
5.0 ug/mL,1.18,3130134.09971,5.0
5.0 ug/mL,1.2,3130134.09971,5.0
5.0 ug/mL,1.22,3130134.09971,5.0
5.0 ug/mL,1.24,3130134.09971,5.0
5.0 ug/mL,1.26,3130134.09971,5.0
5.0 ug/mL,1.28,3130134.09971,5.0
5.0 ug/mL,1.3,3130134.09971,5.0
5.0 ug/mL,1.32,3130134.09971,5.0
5.0 ug/mL,1.34,3130134.09971,5.0
5.0 ug/mL,1.36,3130134.09971,5.0
5.0 ug/mL,1.3800000000000001,3130134.09971,5.0
5.0 ug/mL,1.4000000000000001,3130134.09971,5.0
5.0 ug/mL,1.42,3130134.09971,5.0
5.0 ug/mL,1.44,3130134.09971,5.0
5.0 ug/mL,1.46,3130134.09971,5.0
5.0 ug/mL,1.48,3130134.09971,5.0
5.0 ug/mL,1.5,3130134.09971,5.0
5.0 ug/mL,1.52,3130134.09971,5.0
5.0 ug/mL,1.54,3130134.09971,5.0
5.0 ug/mL,1.56,3130134.09971,5.0
5.0 ug/mL,1.58,3130134.09971,5.0
5.0 ug/mL,1.6,3130134.09971,5.0
5.0 ug/mL,1.62,3130134.09971,5.0
5.0 ug/mL,1.6400000000000001,3130134.09971,5.0
