Concentration,Time_min,RFU_Interpolated,Concentration [μM]
5.0 ug/mL,0.0,0.0,5.0
5.0 ug/mL,0.02,0.0,5.0
5.0 ug/mL,0.04,0.0,5.0
5.0 ug/mL,0.06,0.0,5.0
5.0 ug/mL,0.08,0.0,5.0
5.0 ug/mL,0.1,0.0,5.0
5.0 ug/mL,0.12,0.0,5.0
5.0 ug/mL,0.14,0.0,5.0
5.0 ug/mL,0.16,0.0,5.0
5.0 ug/mL,0.18,0.0,5.0
5.0 ug/mL,0.2,0.0,5.0
5.0 ug/mL,0.22,0.0,5.0
5.0 ug/mL,0.24,0.0,5.0
5.0 ug/mL,0.26,0.0,5.0
5.0 ug/mL,0.28,0.0,5.0
5.0 ug/mL,0.3,0.0,5.0
5.0 ug/mL,0.32,0.0,5.0
5.0 ug/mL,0.34,0.0,5.0
5.0 ug/mL,0.36,0.0,5.0
5.0 ug/mL,0.38,0.0,5.0
5.0 ug/mL,0.4,0.0,5.0
5.0 ug/mL,0.42,0.0,5.0
5.0 ug/mL,0.44,0.0,5.0
5.0 ug/mL,0.46,0.0,5.0
5.0 ug/mL,0.48,0.0,5.0
5.0 ug/mL,0.5,0.0,5.0
5.0 ug/mL,0.52,0.0,5.0
5.0 ug/mL,0.54,0.0,5.0
5.0 ug/mL,0.56,0.0,5.0
5.0 ug/mL,0.58,0.0,5.0
5.0 ug/mL,0.6,0.0,5.0
5.0 ug/mL,0.62,0.0,5.0
5.0 ug/mL,0.64,0.0,5.0
5.0 ug/mL,0.66,0.0,5.0
5.0 ug/mL,0.68,0.0,5.0
5.0 ug/mL,0.7000000000000001,0.0,5.0
5.0 ug/mL,0.72,0.0,5.0
5.0 ug/mL,0.74,0.0,5.0
5.0 ug/mL,0.76,0.0,5.0
5.0 ug/mL,0.78,0.0,5.0
5.0 ug/mL,0.8,0.0,5.0
5.0 ug/mL,0.8200000000000001,0.0,5.0
5.0 ug/mL,0.84,0.0,5.0
5.0 ug/mL,0.86,0.0,5.0
5.0 ug/mL,0.88,0.0,5.0
5.0 ug/mL,0.9,0.0,5.0
5.0 ug/mL,0.92,0.0,5.0
5.0 ug/mL,0.9400000000000001,0.0,5.0
5.0 ug/mL,0.96,0.0,5.0
5.0 ug/mL,0.98,0.0,5.0
5.0 ug/mL,1.0,0.0,5.0
5.0 ug/mL,1.02,0.0,5.0
5.0 ug/mL,1.04,0.0,5.0
5.0 ug/mL,1.06,0.0,5.0
5.0 ug/mL,1.08,0.0,5.0
5.0 ug/mL,1.1,0.0,5.0
5.0 ug/mL,1.12,0.0,5.0
5.0 ug/mL,1.1400000000000001,0.0,5.0
5.0 ug/mL,1.16,0.0,5.0
5.0 ug/mL,1.18,0.0,5.0
5.0 ug/mL,1.2,0.0,5.0
5.0 ug/mL,1.22,0.0,5.0
5.0 ug/mL,1.24,0.0,5.0
5.0 ug/mL,1.26,0.0,5.0
5.0 ug/mL,1.28,0.0,5.0
5.0 ug/mL,1.3,0.0,5.0
5.0 ug/mL,1.32,0.0,5.0
5.0 ug/mL,1.34,0.0,5.0
5.0 ug/mL,1.36,0.0,5.0
5.0 ug/mL,1.3800000000000001,0.0,5.0
5.0 ug/mL,1.4000000000000001,0.0,5.0
5.0 ug/mL,1.42,0.0,5.0
5.0 ug/mL,1.44,0.0,5.0
5.0 ug/mL,1.46,0.0,5.0
5.0 ug/mL,1.48,0.0,5.0
5.0 ug/mL,1.5,0.0,5.0
5.0 ug/mL,1.52,0.0,5.0
5.0 ug/mL,1.54,0.0,5.0
5.0 ug/mL,1.56,0.0,5.0
5.0 ug/mL,1.58,0.0,5.0
5.0 ug/mL,1.6,0.0,5.0
5.0 ug/mL,1.62,0.0,5.0
5.0 ug/mL,1.6400000000000001,0.0,5.0
5.0 ug/mL,1.6600000000000001,0.0,5.0
5.0 ug/mL,1.68,0.0,5.0
5.0 ug/mL,1.7,0.0,5.0
5.0 ug/mL,1.72,0.0,5.0
5.0 ug/mL,1.74,0.0,5.0
5.0 ug/mL,1.76,0.0,5.0
5.0 ug/mL,1.78,0.0,5.0
5.0 ug/mL,1.8,0.0,5.0
5.0 ug/mL,1.82,0.0,5.0
5.0 ug/mL,1.84,0.0,5.0
5.0 ug/mL,1.86,0.0,5.0
5.0 ug/mL,1.8800000000000001,0.0,5.0
5.0 ug/mL,1.9000000000000001,0.0,5.0
5.0 ug/mL,1.92,0.0,5.0
5.0 ug/mL,1.94,0.0,5.0
5.0 ug/mL,1.96,0.0,5.0
5.0 ug/mL,1.98,0.0,5.0
5.0 ug/mL,2.0,0.0,5.0
5.0 ug/mL,2.02,0.0,5.0
5.0 ug/mL,2.04,0.0,5.0
5.0 ug/mL,2.06,0.0,5.0
5.0 ug/mL,2.08,0.0,5.0
5.0 ug/mL,2.1,0.0,5.0
5.0 ug/mL,2.12,0.0,5.0
5.0 ug/mL,2.14,0.0,5.0
5.0 ug/mL,2.16,0.0,5.0
5.0 ug/mL,2.18,0.0,5.0
5.0 ug/mL,2.2,0.0,5.0
5.0 ug/mL,2.22,0.0,5.0
5.0 ug/mL,2.24,0.0,5.0
5.0 ug/mL,2.2600000000000002,0.0,5.0
5.0 ug/mL,2.2800000000000002,0.0,5.0
5.0 ug/mL,2.3000000000000003,0.0,5.0
5.0 ug/mL,2.32,0.0,5.0
5.0 ug/mL,2.34,0.0,5.0
5.0 ug/mL,2.36,0.0,5.0
5.0 ug/mL,2.38,0.0,5.0
5.0 ug/mL,2.4,0.0,5.0
5.0 ug/mL,2.42,0.0,5.0
5.0 ug/mL,2.44,0.0,5.0
